"Gobierno de Cordoba Argentina","2016","6","69"
"Gobierno de Cordoba Argentina","2015","3","68"
"Gobierno de Cordoba Argentina","2015","6","66"
"Gobierno de Cordoba Argentina","2015","11","64"
"Gobierno de Cordoba Argentina","2016","3","64"
"Gobierno de Cordoba Argentina","2015","5","64"
"Gobierno de Cordoba Argentina","2015","10","61"
"Gobierno de Cordoba Argentina","2015","2","60"
"Gobierno de Cordoba Argentina","2015","8","55"
"Gobierno de Cordoba Argentina","2016","9","54"
"Canal 10 de Cordoba","2016","9","53"
"Gobierno de Cordoba Argentina","2016","2","51"
"Canal 10 de Cordoba","2016","7","47"
"Dia a dia cordoba","2015","2","46"
"Gobierno de Cordoba Argentina","2016","1","41"
"Dia a dia cordoba","2015","3","38"
"Gobierno de Cordoba Argentina","2015","1","38"
".Cordoba.Ar","2015","3","37"
".Cordoba.Ar","2015","5","36"
".Cordoba.Ar","2015","6","35"
".Cordoba.Ar","2015","2","35"
"Resumen de TV cordobesa Kakaroto","2015","7","34"
"Zoom Contenidos","2015","1","34"
"Gobierno de Cordoba Argentina","2015","7","32"
".Cordoba.Ar","2015","7","31"
".Cordoba.Ar","2015","4","30"
".Cordoba.Ar","2015","11","26"
"CVA Medios","2015","5","25"
"Mariano Saravia","2016","5","25"
"Resumen de TV cordobesa Kakaroto","2016","9","24"
".Cordoba.Ar","2015","8","24"
".Cordoba.Ar","2015","10","23"
".Cordoba.Ar","2015","9","23"
"Resumen de TV cordobesa Kakaroto","2015","8","22"
"Dia a dia cordoba","2015","1","22"
"Zoom Contenidos","2015","3","21"
"Mariano Saravia","2016","4","21"
"Resumen de TV cordobesa Kakaroto","2016","4","21"
"Resumen de TV cordobesa Kakaroto","2016","8","21"
"Resumen de TV cordobesa Kakaroto","2016","7","21"
"Dia a dia cordoba","2015","4","21"
".Cordoba.Ar","2015","12","20"
"Zoom Contenidos","2015","8","20"
"Zoom Contenidos","2015","11","20"
"Zoom Contenidos","2015","6","20"
"Resumen de TV cordobesa Kakaroto","2016","6","19"
"Dia a dia cordoba","2015","7","19"
"Resumen de TV cordobesa Kakaroto","2016","12","19"
"Resumen de TV cordobesa Kakaroto","2015","10","18"
"Resumen de TV cordobesa Kakaroto","2015","1","18"
"Resumen de TV cordobesa Kakaroto","2016","2","17"
".Cordoba.Ar","2016","10","17"
"Zoom Contenidos","2015","2","16"
"Zoom Contenidos","2015","5","16"
"Zoom Contenidos","2016","2","16"
"Zoom Contenidos","2015","12","16"
"Zoom Contenidos","2015","4","16"
"Resumen de TV cordobesa Kakaroto","2016","10","15"
".Cordoba.Ar","2016","5","15"
"Resumen de TV cordobesa Kakaroto","2015","6","15"
"Zoom Contenidos","2015","9","15"
"CVA Medios","2015","6","15"
"Resumen de TV cordobesa Kakaroto","2015","4","14"
".Cordoba.Ar","2016","8","14"
"Zoom Contenidos","2015","10","13"
".Cordoba.Ar","2016","6","13"
"Zoom Contenidos","2015","7","12"
"Hoy no duermo en casa","2016","7","12"
"Zoom Contenidos","2016","1","12"
".Cordoba.Ar","2016","7","11"
".Cordoba.Ar","2016","11","11"
"CVA Medios","2015","4","11"
